,MSFT,AAPL,NVDA,AMZN,ORCL,AMD,QCOM,ADBE,ASML,ADI,LLY,JNJ,MRK,TMO,PFE,CVS,BRK-B,JPM,BAC,WFC,MS,BLK,GS,BA,LMT,RTX,GE,NOC,XOM,CVX,LIN,WMT,UNH,PG,COST,HD,KO,PEP,MCD,NSRGY,TM,NKE,T,F
Open,86.19709992090861,39.87155315591643,56.58832979554931,41.83682001223167,38.12426666299502,27.398091632227104,63.75386670589447,143.52046247879665,165.44642076452573,69.2269917122523,111.14614160378774,95.70962503751119,55.18784086704254,165.20005010128023,29.690362540880837,53.24234578768412,136.05745004018146,69.49484180053075,28.075637509822844,37.765641709168754,48.26860832373301,312.3053507677714,183.55815856297812,130.70407531579335,186.94032517115275,56.12080664078395,112.28861245632172,168.10102063973744,72.54024576505026,93.38939159234364,131.58167910575867,26.30165833234787,147.90895018498102,81.76095412095388,167.1798416407903,117.05217500686645,37.2688916460673,90.8461083984375,111.45650821447373,65.38145170529684,107.52978327433269,46.72569061319033,23.349300323327384,11.712083350817363
High,88.47672915617625,41.044951359232265,59.65617355316877,43.216077061643205,39.15032498995463,28.919941709240277,65.86841673374175,148.16784574906032,171.27649578770001,71.35175837198894,114.26171657085419,97.34681660016378,56.43485014756521,169.47100881735483,30.36609464565913,54.551324985027314,138.4117583847046,71.35895828723908,28.835112481514614,38.75170836130778,49.822558415730796,320.6385083802541,188.80814165115356,134.83733353296915,190.87625833193462,57.37573182344437,115.03268142859142,171.97396439870198,74.16502500851949,95.59421250661214,134.50827501296996,26.84103059530258,151.6207229669889,83.19811252435048,171.0812833515803,119.87673339366913,37.917241675059,92.38686675071716,113.52788340091705,66.49470497290294,109.7237499777476,48.003108376661935,23.85433660984039,12.10615833868583
Low,84.19984574715296,38.909420123199624,54.22402545586228,40.58046667498847,37.19462501525879,26.014458307822544,61.79983757416407,139.10532095750173,160.33838557720185,67.1458083430926,108.42387516498566,94.0955541865031,53.92693507194519,160.9920333369573,28.986568826039633,51.90454168796539,133.6357666873932,67.71365828116735,27.29873332242171,36.76354581435521,46.66965002854665,303.91660826683045,178.4549914709727,126.78377525011699,183.0250665092468,54.83327332735062,109.31331589063008,164.26980353514352,70.90009167512258,91.12594584782919,128.82998765786488,25.82893335898717,144.30724564870198,80.39140000661214,163.84396696090698,114.33077497959137,36.636054161389666,89.32474160830179,109.4916000564893,64.24000498771667,105.40819167137145,45.51873543739319,22.805319968859354,11.301116662621498
Close,86.56198334137599,40.04400091160089,57.21261020084222,41.98405832454562,38.21868331352869,27.48140827645858,63.901704145272575,143.972837489446,166.26403235793114,69.34360007603964,111.66338325659434,95.82615823427837,55.23361275990804,165.76378366947174,29.680803584257763,53.27354995727539,136.24075814565023,69.63997502803802,28.093400003910066,37.79951250950496,48.31045009454091,312.9141920216878,183.82459197362263,130.92390834172568,187.19995848337808,56.176632197697955,112.20148595174153,168.39265893300373,72.61937509218852,93.48040017763773,131.9580125172933,26.338197226524354,148.29813753366471,81.91967922210694,167.76200002511342,117.34621666749318,37.31263336022695,90.96528347651164,111.68038345654806,65.46313164075215,107.67755833943684,46.825160427888235,23.326034420331318,11.68711667885383
Adj Close,79.78456043720246,38.586149149710934,56.9364550503095,41.98405832454562,34.54914455850919,27.48140827645858,52.55866519212723,143.96501072645188,156.8234942348798,59.57976165771484,96.66624579747518,76.13272210915883,41.213747471173605,163.32838613986968,20.255910811424254,43.62472829778989,136.24075814565023,56.528586712678276,21.9376715918382,28.836310832103095,36.43870138287544,265.29617947419484,157.10722003618875,118.91752588589986,156.3228120946884,45.687428328196205,79.00838611602784,151.12078642845154,49.44116427898407,65.6057553188006,116.82337210734686,22.201605687936148,137.8709199508031,64.65608253161112,149.62108809947966,102.0133220688502,28.567967105706533,72.31384469985962,94.50498362898827,52.63370639880498,98.84294922510783,43.809237598578136,11.013685058355332,7.5524222358564534
Volume,235932240.91666666,1877803890.8333333,300714801.1666667,566084946.25,127111762.0,168432349.25,73864570.66666667,23882684.083333332,8844014.633333333,15998860.083333334,23399743.083333332,44114425.75,57772429.04083333,9140320.666666666,160018118.5175,36639232.666666664,15025791.75,99042398.16666667,403477219.1666667,119996678.66666667,60213536.416666664,2583401.9166666665,25516301.166666668,30732056.25,9469223.083333334,34164911.21333333,50875972.1675,8144834.911666667,88328963.41666667,40825795.666666664,8111590.583333333,153613757.66666666,29503598.916666668,43721972.083333336,15298737.916666666,42357113.416666664,72546382.08333333,25432340.75,26679934.666666668,2374179.125,1847557.4166666667,49862890.75,161486050.65,218621099.25
SMA_20,83.55005277808507,38.663633263780426,50.75042212759952,40.592789410993454,37.43316925656796,26.3328451576829,62.853966531356164,140.03806277060508,159.1728856819471,68.16015330712001,106.36855313905079,94.97407714653015,54.81197798188527,161.45557028126717,29.78227525472641,52.92838964406649,133.3976885957718,68.52940200678508,28.018224377552663,37.54581646728516,48.11076362673442,306.94083831357955,181.3955267540614,129.91049946451187,183.94504431184131,55.604007799228036,112.81572985967,165.0363038228353,72.05901249424616,92.59397338294981,128.6034450773398,26.005681779861447,144.5348974767129,80.91824838407835,162.34275122070312,114.86284260574976,37.0312482568423,89.96618232043583,109.67650511630377,64.79324062132834,106.37568457730612,46.103722956438865,23.45502031358083,11.814238033552964
SMA_50,79.32864922310512,36.372344995279114,43.98733333756328,38.748064481351776,36.412270296398795,24.92812587683598,61.64620185750326,133.37218293771744,150.3336393166065,66.61062292804718,99.77580109488169,93.598840102005,54.3853619082133,155.27426528307598,29.919126136938733,52.34299687573115,129.3524442337672,67.09401564102173,27.930236276467646,37.2618232975324,48.03634245675405,298.195461824735,178.22178582293193,127.9753665702184,178.8248855281512,54.82319120543798,114.58464438997903,159.76942075831096,71.26643287830353,91.20182696253458,123.8000451778094,25.540035254939397,138.2632688235283,79.45825216302872,154.98353852583568,111.27901689491271,36.65431842492421,88.41240805912018,106.53701362196604,63.64545517056783,104.88966908480327,44.872513795415564,23.717157959699627,11.990474869819481
%K,59.14029087981261,62.97956933486392,59.56915632936894,60.50483548334678,57.06033465559427,48.93880543144782,56.69140927681652,61.893431535541964,60.554239622518885,57.47348050519664,56.63982013926073,58.743816274447624,56.26465473901941,63.28619223224704,52.143589316689095,57.752130097978785,62.090258387271845,59.01935075375881,57.29407479152139,57.534880798155754,56.33310453913075,60.79953323700309,57.254005585590036,57.21613953308064,61.95918621069913,60.58671009672836,52.598558071009485,61.40452382332621,55.80790472218332,57.40128982205452,64.18977663605548,54.73897767295489,64.56697188407237,62.68348243800804,61.99373866841511,60.99809481870313,58.16297102168671,61.553987398114984,61.49975050298046,59.91865536268648,54.61126479062767,60.90062108403758,51.20788081628195,47.418765923078666
%D,59.19656284682339,63.040162859201544,59.58792958373155,60.50197515449484,57.04970909880937,49.00763548390067,56.66678083931139,61.931479121794666,60.59822690657903,57.4614237123347,56.65210081321025,58.78826013785881,56.24505877531401,63.28255177566573,52.17162559834217,57.770536952065804,62.104416797030375,59.0132858286778,57.304434668167744,57.50600117061774,56.31012315367967,60.80919930942227,57.213793494430504,57.27315644603002,61.939711239403124,60.58276698852768,52.60461394120681,61.37660871038461,55.821756740667404,57.40701119320202,64.21813741816182,54.7373155479455,64.58161941693437,62.63640740838886,61.97650150548761,61.07109187947687,58.11512277052305,61.53562578379535,61.501334061643185,59.958680295740876,54.60143468697397,60.90932101698829,51.19711089692429,47.428742492901996
RSI,55.60046197112235,58.185231428867944,56.41469413717066,56.76455434820622,53.70584192252737,51.524669802380814,52.820592236646746,56.33229444846917,55.31689629092619,52.78760368083028,53.645328390900126,53.69143191831568,52.20989019394332,56.90585260018168,50.17150673503658,53.46167734140788,56.23386814938147,53.68923645432462,52.45897030189018,52.81981707561664,51.887154229937586,55.38291079103748,52.93724399268699,53.952610980010384,56.239286274528254,54.116614034665,50.70419502584384,56.22937678917572,52.114602127062994,53.13348730238793,56.294470940076366,53.002273944212796,56.97290742194527,54.77239308713245,56.662212503790855,54.9533478091346,53.22689178391206,54.76375649908309,55.830114547646126,54.625265623486875,52.42005718112418,55.66915789672462,49.94888044448611,48.8408915921709
BB_Middle,83.55005277808507,38.663633263780426,50.75042212759952,40.592789410993454,37.43316925656796,26.3328451576829,62.853966531356164,140.03806277060508,159.1728856819471,68.16015330712001,106.36855313905079,94.97407714653015,54.81197798188527,161.45557028126717,29.78227525472641,52.92838964406649,133.3976885957718,68.52940200678508,28.018224377552663,37.54581646728516,48.11076362673442,306.94083831357955,181.3955267540614,129.91049946451187,183.94504431184131,55.604007799228036,112.81572985967,165.0363038228353,72.05901249424616,92.59397338294981,128.6034450773398,26.005681779861447,144.5348974767129,80.91824838407835,162.34275122070312,114.86284260574976,37.0312482568423,89.96618232043583,109.67650511630377,64.79324062132834,106.37568457730612,46.103722956438865,23.45502031358083,11.814238033552964
BB_Upper,92.91105775751562,43.83493219158064,64.81904084875511,46.4344229556405,41.63170893643094,33.17578192659267,72.07595034820159,160.87904888168154,185.90167894844365,75.89885035341877,119.9124689153401,101.54283274773343,60.1266643703126,178.48671976533373,32.70156097283826,58.551765299421845,144.3419379219899,76.6637345400374,31.558777757987833,41.65619472329509,54.94079757095587,345.01765220100475,205.24653509319754,149.3779628223679,200.921665291356,61.215204793364734,125.99805641382501,180.81596724002645,78.74163009360178,102.10711498349859,140.04331027682395,28.11535406428698,158.449758750565,86.70431548300822,178.8839559839519,127.63054584069803,39.64979801984453,95.94992111768968,118.36604637064305,69.44878282540127,116.90480022986996,51.77126114991533,25.594147515573855,13.793600124570997
BB_Lower,74.18904779865453,33.49233433598021,36.681803406443926,34.75115586634641,33.234629576704975,19.489908388773124,53.63198271451076,119.1970766595286,132.44409241545048,60.42145626082122,92.82463736276152,88.40532154532688,49.49729159345794,144.42442079720058,26.86298953661456,47.30501398871114,122.45343926955368,60.395069473532764,24.477670997117507,33.435438211275226,41.28072968251296,268.8640244261543,157.54451841492522,110.44303610665585,166.9684233323267,49.99281080509133,99.63340330551499,149.2566404056441,65.37639489489055,83.08083178240108,117.16357987785567,23.896009495435926,130.62003620286075,75.13218128514849,145.80154645745435,102.0951393708015,34.41269849384006,83.982443523182,100.98696386196448,60.137698417255436,95.84656892474224,40.43618476296239,21.315893111587805,9.834875942534934
MACD,2.058109952834255,1.0494278003505868,3.690009303791337,0.9131052580028964,0.5070659435225948,0.7343128565713777,0.6399833339735221,3.0238097059404683,4.560017715112959,0.7776680181781986,3.339028450370065,0.6426725471862008,0.24223440884194428,3.0072941130621302,-0.06550760556235692,0.2732796292782981,1.955838261795517,0.7184764348263101,0.045748527410894864,0.1500816847050654,0.07802814620498424,4.227481045480438,1.5957106119198514,0.8615839059763459,2.3920144021494227,0.38787319433697365,-0.6893339709670745,2.4618468286664674,0.38268684497544786,0.649112509041775,2.3177294650642084,0.22520178374431385,2.8714412058460326,0.6995312503794926,3.630452183582406,1.7432261594908725,0.18786257207520515,0.7300622566048285,1.4762727362303663,0.5248036734396258,0.7816689380756179,0.5656151388472095,-0.1117185229538489,-0.08606079543622695
MACD_Signal,1.996233243284125,1.0563078164121917,3.3431476992368703,0.8756163573317822,0.4827846705235894,0.6861356507741363,0.5972557957748245,3.0369420081327494,4.328213361929433,0.7429360477528716,3.150089157298882,0.6466780670960438,0.22344296265779456,2.957342550211494,-0.06208819525984825,0.2771834040310015,1.9094712563736922,0.6842164537817692,0.041757236536909305,0.13916237832095676,0.054246501208350915,4.1545982581877166,1.5351487705187679,0.8899437524525128,2.3945202421781415,0.37945705690860154,-0.7683217534563797,2.4600971405127856,0.37496298337313516,0.6496509274043213,2.2633097463405867,0.21869074932698246,2.8979218649266527,0.6893742623699446,3.505491570391348,1.7040413876440577,0.18268927584390804,0.7311580141107712,1.473441890964465,0.534188530452379,0.7193851252603372,0.5750890682786234,-0.1161853553919768,-0.08404593297651163
ATR,4.219924740543586,2.1069705409080943,4.736332054424878,2.5810604680816636,1.9713564902592369,2.8241016886602517,4.1052320682475765,8.887497841593104,10.717453030966801,4.260898896146277,5.556131086353851,3.2682120909248358,2.5587054763841977,8.358400811039456,1.4227851067838302,2.6486500025967747,4.831560385069086,3.730498872033935,1.5873269482364194,2.025621493284069,3.2937117602858597,16.756390158318638,10.542883869877786,8.237692269834866,7.903441720080844,2.5900331679653417,5.947343780906069,7.658236083001105,3.318178286346731,4.544386762454056,5.717383215768691,1.0248006278269957,7.187516802220321,2.8194618980906245,7.099930985449258,5.5500333346124116,1.3054382479993079,3.072473605416769,4.031463685478966,2.319404710416356,4.511962219917522,2.485776610367699,1.0899980240868279,0.837671807522451
