,MSFT,AAPL,NVDA,GOOGL,GOOG,AMZN,META,AVGO,TSLA,ORCL,CRM,AMD,QCOM,ADBE,ASML,ADI,DELL,LLY,JNJ,MRK,ABBV,TMO,MRNA,PFE,CVS,BRK-B,JPM,MA,BAC,WFC,ACN,MS,BLK,PYPL,BA,LMT,RTX,GE,NOC,XOM,CVX,LIN,WMT,UNH,PG,COST,HD,KO,PEP,MCD,TM,GM,BAB,NKE,T,F
Open,291.41672863881524,163.7721403377428,288.5974126049357,113.31403535615414,114.0584244418363,118.01099411710686,218.32309078391538,682.2384586551211,223.44009989607224,93.11746085910622,187.63858344961744,93.36437408867232,122.38216143686837,423.99517113361884,606.3404226768564,172.49740160460865,49.62732596861113,416.58447858057986,164.25042174733014,103.43577623279816,148.0575336253315,534.5332165527344,134.77903719840793,41.06379692847575,82.54602243125986,318.50814975003584,135.33757386933772,365.0304186451763,31.387635673732934,42.75477099077417,293.844230682653,85.48153004217585,679.1678359285407,72.81925852784323,191.6895326778867,449.0229392963374,90.99630417570062,86.95265260328941,470.3233382086798,104.9184659513421,161.06384015844503,343.6963901120807,146.6267722229564,508.14022775632526,145.82324749027916,522.5940851222047,304.370754069757,60.3749520174079,176.01687876290137,271.2810237723534,154.83866192458967,35.341218897968254,26.334206354683694,109.62897408021699,17.222498141297507,12.651139551565187
High,292.4922139690994,164.35374738220776,290.35465034134893,113.80345248721062,114.53658241481956,118.59197328340024,219.46731181293453,685.2086382104716,225.0737771382463,93.4601209853986,188.47945632514603,93.98553451678075,122.97031905427986,425.90450946772864,608.8423804830849,173.19569788381594,49.8489698021565,418.16447985727854,164.6633069519603,103.75044455991973,148.52533298317445,536.4976034237923,135.79194967567375,41.20496401025615,82.81705981893278,319.30280894988175,135.77161830237154,366.20623631468607,31.508300394880663,42.92677692938288,294.8794023370305,85.79745550873082,681.6182879694668,73.216367615866,192.5900190496882,450.3168095523939,91.28427986355003,87.28406316354734,471.93461310430405,105.3325211719198,161.63274588768635,344.7229559830132,147.00720480822642,509.76641875940726,146.1997746430843,524.2045826427214,305.4132789877795,60.51663841457542,176.44677095465704,271.93797853802323,155.14110758650193,35.51426673749171,26.368136868258134,110.04891664277523,17.27967940409249,12.713819534231764
Low,290.38569436169547,163.21697891095363,286.87774822550085,112.86128248022237,113.61113036269441,117.43879343295316,217.25395326666876,679.436671422556,221.74628029919546,92.79792011785945,186.86643690756702,92.75632017923057,121.81109782647648,422.1722422300566,603.9138887569883,171.8111581616883,49.415016843463306,414.96874368370123,163.83362332685277,103.11981776246238,147.58969863191658,532.5703581587766,133.81521664820679,40.92225436009398,82.27391604362278,317.66858931515196,134.91115986675297,363.89646110324685,31.26528639907137,42.58637486169098,292.894025402944,85.17158665368316,676.8032052304329,72.42181252855774,190.8436444315779,447.6801094041177,90.69336604407074,86.64485310265778,468.6545583742474,104.50614560748458,160.45135080879982,342.73260197910696,146.24803178979715,506.4660583384103,145.45016479492188,521.052758128315,303.3591510849699,60.22797070424491,175.56509071280104,270.64521142242154,154.5305998915926,35.1705980619378,26.29979404974421,109.22822105757687,17.164902935553034,12.588853687671346
Close,291.4462890625,163.80221803717657,288.6605239896162,113.33846811837013,114.08193755823538,118.02027209640643,218.3703049825966,682.4095410268241,223.43456589165083,93.13631304539672,187.68982908196406,93.38114973015742,122.39666589859429,424.0672023164242,606.457208431139,172.5194947744947,49.639751838894064,416.605422542467,164.24861992792253,103.44243120665944,148.06864991914242,534.5904110073825,134.7922378176068,41.06162573648155,82.54517034128172,318.5005091115969,135.35177563028597,365.0933800037629,31.38856257097437,42.76200345800557,293.9194614179419,85.49371516236471,679.2722551874283,72.8164435332412,191.7458170059624,449.01488934158186,90.99204761750107,86.97392027828671,470.3166396506773,104.92589167043704,161.04867002154708,343.7631840193162,146.63042918633977,508.12573108918076,145.8286674233533,522.6578963253476,304.4062028181444,60.37026732838482,176.00040763644998,271.2973727332999,154.8372522756594,35.34352953289627,26.334534604133815,109.64679860806247,17.22234547781288,12.652611412608296
Adj Close,291.4462890625,163.80221803717657,288.6605239896162,113.33846811837013,114.08193755823538,118.02027209640643,218.3703049825966,682.4095410268241,223.43456589165083,93.13631304539672,187.68982908196406,93.38114973015742,122.39666589859429,424.0672023164242,606.457208431139,172.5194947744947,49.639751838894064,416.605422542467,164.24861992792253,103.44243120665944,148.06864991914242,534.5904110073825,134.7922378176068,41.06162573648155,82.54517034128172,318.5005091115969,135.35177563028597,365.0933800037629,31.38856257097437,42.76200345800557,293.9194614179419,85.49371516236471,679.2722551874283,72.8164435332412,191.7458170059624,449.01488934158186,90.99204761750107,86.97392027828671,470.3166396506773,104.92589167043704,161.04867002154708,343.7631840193162,146.63042918633977,508.12573108918076,145.8286674233533,522.6578963253476,304.4062028181444,60.37026732838482,176.00040763644998,271.2973727332999,154.8372522756594,35.34352953289627,26.334534604133815,109.64679860806247,17.22234547781288,12.652611412608296
Volume,3164731.075229358,8156330.194862385,6605860.759633028,3586836.4829357797,2874390.585688073,7770452.230458716,3640019.6363302753,273386.27119266056,15564009.643669724,1049475.767706422,831994.6326605504,9234334.078165138,907752.3588990825,386191.0286238532,135569.05541284403,364111.55779816513,486711.61174311925,345027.7787155963,1034338.9372477065,868750.8253211009,589792.8308256881,199676.8304587156,549270.7849541284,2913262.6488073394,878438.5974311926,386920.91926605505,1286636.0407339449,295379.9842201835,5598085.756697248,2228253.696146789,241853.81688073394,898563.5387155963,80242.86862385321,1839864.9959633027,850162.2154128441,146971.79229357798,682803.8858715596,716850.0374311927,100902.3166972477,2222484.8249541284,1002015.576880734,201277.12587155963,767466.7519266055,350570.2939449541,684612.6392660551,226125.13944954128,409428.43669724773,1465912.0198165139,479366.59633027524,296253.3790825688,35198.95926605505,1853341.4377981653,52975.10275229358,930495.1060550458,4876223.71266055,7855209.802568807
SMA_20,291.07925226446025,163.6403602241726,287.58227844882236,113.2588194003324,113.99858639498369,117.9061954244911,217.8021889533647,680.4806100581458,223.40530395395822,93.01497710271713,187.42816852814562,93.21860792681493,122.3750764426135,423.49165746566354,605.7648355410514,172.39932389901537,49.54937893907739,415.6542450063163,164.31875475178288,103.37398749199265,148.04644104255885,534.6526098151251,134.93946779975542,41.14624568498244,82.59772165434951,318.3255640353982,135.20216877186627,364.8553707057008,31.39397035966225,42.74323605360679,293.74455194091803,85.45601189275618,678.7617252499642,72.90208962998697,191.31665136718752,448.9800712840228,91.04349626103672,86.73611387991248,470.33496155121134,104.93845118055432,161.1535755049679,343.46816921073145,146.50744578622238,508.01135575992697,145.82477591166364,522.0078378441488,304.2508843260599,60.38419512498487,175.98639866736175,271.1198383761065,154.77949611922799,35.348587895734596,26.33686247872869,109.69049724389872,17.23727725100736,12.65688937953634
SMA_50,290.5091470808397,163.38660827009568,285.907924079993,113.12593018899621,113.85949430318009,117.73917735282127,216.91355976976868,677.4052879941048,223.3213924482153,92.82995833314669,186.98888748880088,93.00667817018842,122.35555120379246,422.57500226558017,604.731480606275,172.21995474595934,49.408475352492026,414.17924849931904,164.43525563024116,103.2762607788646,148.00780567839738,534.797986883153,135.18898929112984,41.28264334086847,82.68909542421115,318.0760388210472,134.98788526874506,364.50554854433955,31.407871411916755,42.718737940069076,293.4850353981507,85.40927566197946,678.0254177241613,73.03789220676246,190.64116812598553,448.9520607735451,91.12026965080051,86.36615287665971,470.40802513550926,104.93335531425825,161.30148579493533,343.0372766646359,146.32769290995466,507.84205755940013,145.8258012687473,520.9361865780892,303.9937279747079,60.40897710394903,175.9704721105173,270.8702322387695,154.70057070446887,35.35861117788892,26.341814590552094,109.75152986489393,17.26151209977176,12.663689390549967
%K,51.993049335870765,53.448755999982815,53.640674046062955,51.13711218158841,51.508982219737824,51.43690811828018,52.92275351051132,52.64604794824527,50.83736416003738,53.25810841138404,52.57929776394966,50.66961439789641,50.82822988293794,52.17158693570966,52.03586087944056,52.33324372113612,54.21562631781117,53.84155240495748,50.314225015647224,52.18331052803146,51.86747320251603,51.30528598353609,46.92484340784306,45.86438192062511,49.79211590047565,52.96099151460351,53.96240845422369,53.89457266821477,49.63024967482438,51.99313403901396,53.540324840384905,52.129528957753394,51.677276058307946,49.532894004904875,52.40265448817655,50.47893232585043,50.49832940766873,55.127545766348675,50.872949659502105,52.50131054338125,52.02922092894723,53.86726303730946,53.5229909651062,51.14067016706677,51.88485503236744,53.6677655060198,52.05779869107626,50.04446394032001,51.02555397616614,52.9078424615391,50.20470993593188,50.543045065370535,49.8540032507546,50.00307207972972,48.54044778229007,50.699555294409464
%D,51.967014232326946,53.43839421614974,53.61599880374387,51.12177977215119,51.491574648780464,51.425327988015745,52.926919341486894,52.64124995345805,50.83643792816173,53.24826279996481,52.583087716749915,50.65765963645939,50.81706284562258,52.16351081848462,52.018303558781064,52.32623840637364,54.215145826545566,53.823519787951504,50.293790184127964,52.1525213842804,51.850786852457524,51.29618361674715,46.91337118587943,45.849256617605754,49.777626403182566,52.9429034399497,53.93439467328535,53.870393709096085,49.61897925065411,51.98112692167615,53.528701842125365,52.116542159909216,51.662298754076154,49.528661356597375,52.37747005797553,50.4441556893664,50.48190958242855,55.116056008730126,50.84052685225925,52.49712082501909,52.02522985760409,53.840843776348365,53.50573772738754,51.12383410866699,51.85660691382169,53.66887638125557,52.05508791698883,50.01482089947414,50.99624417471945,52.87689203181742,50.174237353082475,50.53896570319158,49.85271800750963,49.9840323494762,48.51431887296462,50.69546390950672
RSI,51.594317870446794,52.06807628937824,52.423371790530155,51.07476768217103,51.110328430103344,51.236369391034536,52.60943295264456,52.109334248507935,50.320606159786884,52.74266820581981,51.94878420737548,50.70284613321003,50.68791030942396,51.747871856136406,51.085259933752575,50.99173866076092,52.0093595810126,52.523035988553126,49.43670009880145,50.9755723082845,50.66969724155357,49.8949258531987,48.24512589925074,46.716789532469704,49.43100978082702,51.659863913560656,52.47347951798747,51.66523356135316,50.07467631427041,51.269332902577766,51.59019517498107,50.85078012743458,51.04311402606374,49.4679800892011,51.69087480892669,49.91487929808291,49.702826132633376,53.82655876416264,50.23476582197692,50.57420847854809,50.06663578235482,51.78384592155693,52.255808393876926,50.29544032780167,50.212186764992076,52.41645043410049,51.1612541344777,49.874076578783466,50.485273671059,51.84842510339714,50.523600017140744,50.132477587404246,49.523030229223906,49.826226336485384,48.92229451717387,50.335246657763165
BB_Middle,291.07925226446025,163.6403602241726,287.58227844882236,113.2588194003324,113.99858639498369,117.9061954244911,217.8021889533647,680.4806100581458,223.40530395395822,93.01497710271713,187.42816852814562,93.21860792681493,122.3750764426135,423.49165746566354,605.7648355410514,172.39932389901537,49.54937893907739,415.6542450063163,164.31875475178288,103.37398749199265,148.04644104255885,534.6526098151251,134.93946779975542,41.14624568498244,82.59772165434951,318.3255640353982,135.20216877186627,364.8553707057008,31.39397035966225,42.74323605360679,293.74455194091803,85.45601189275618,678.7617252499642,72.90208962998697,191.31665136718752,448.9800712840228,91.04349626103672,86.73611387991248,470.33496155121134,104.93845118055432,161.1535755049679,343.46816921073145,146.50744578622238,508.01135575992697,145.82477591166364,522.0078378441488,304.2508843260599,60.38419512498487,175.98639866736175,271.1198383761065,154.77949611922799,35.348587895734596,26.33686247872869,109.69049724389872,17.23727725100736,12.65688937953634
BB_Upper,297.115267948536,166.84451862962342,297.73495357287965,116.04229577508713,116.79768112300349,121.24266002051692,224.1130207364132,697.0765733733831,232.9403223364069,94.97183091903034,192.26515734883208,96.73127302521158,125.73159036400625,434.76076997523444,622.915714143055,176.2539419007893,50.82366953659673,424.04288910696204,166.3831053577436,104.93992795824214,150.42008156001802,545.4173504650399,140.5731003092199,41.91220910150046,84.11410528072945,322.622958329395,137.55527820653552,370.8397906658646,32.09115411992889,43.688854306443375,299.482147041595,87.29236623767036,693.3018100237075,75.20917114834575,196.1012005161536,455.6659052431973,92.67523680415778,88.52830052905085,478.85374263843096,107.31098243076372,164.551396216277,349.06842686295045,148.47856622994934,516.426823915402,147.73644773285403,530.5436917402872,309.8623722825596,61.085258482358455,178.15258988364437,274.3203861246774,157.4922699333157,36.37616704209413,26.537470364725674,112.25286243973761,17.555057050216554,13.041982172668176
BB_Lower,285.0432365803846,160.4362018187218,277.429603324765,110.47534302557763,111.19949166696391,114.56973082846528,211.49135717031615,663.8846467429086,213.87028557150958,91.05812328640391,182.59117970745913,89.70594282841827,119.01856252122079,412.22254495609263,588.613956939048,168.54470589724147,48.27508834155806,407.2656009056705,162.25440414582218,101.80804702574311,145.67280052509972,523.8878691652103,129.3058352902909,40.38028226846443,81.08133802796958,314.02816974140137,132.84905933719702,358.8709507455371,30.696786599395622,41.7976178007702,288.0069568402409,83.61965754784202,664.2216404762208,70.59500811162818,186.53210221822144,442.29423732484855,89.41175571791567,84.94392723077412,461.81618046399154,102.56591993034489,157.75575479365887,337.8679115585124,144.53632534249547,499.5958876044518,143.9131040904733,513.4719839480102,298.6393963695602,59.683131767611314,173.8202074510791,267.9192906275356,152.06672230514027,34.32100874937505,26.1362545927317,107.12813204805987,16.919497451798165,12.271796586404506
MACD,0.2664108998438235,0.11825866679354516,0.7863452210341645,0.06002233899775114,0.06283568231830527,0.07979985372116383,0.4140262663594014,1.4289118177566031,0.032900967001123944,0.08730782586850268,0.2008145585701923,0.1069940392471849,0.011616208113276204,0.42710397220835,0.48867632807379396,0.08531337704736175,0.06583044805552252,0.6923930226106602,-0.05377370673740472,0.04686964598584787,0.017149579788998764,-0.061417496441084775,-0.11734321788961768,-0.0634152686788688,-0.04174666074248643,0.12059991807105551,0.1034095856738309,0.16613870927466026,-0.005718380454065039,0.01216145460123806,0.12301359092971412,0.023545897191876164,0.35662464571577307,-0.06317160658465833,0.31584329631483743,0.015502548696773298,-0.0368782799302329,0.17313420656827874,-0.027695180598544006,-0.0019599060369564813,-0.07242080667618862,0.20710225161674115,0.08598719126437589,0.08097432855648357,0.0005274789572730115,0.49448098476313246,0.11945025677259828,-0.01103157478053933,0.008337593903324522,0.121026509870264,0.038827139591291845,-0.0045799576471428835,-0.0021201113151181217,-0.028938075149256504,-0.0112415500486028,-0.003226905964845905
MACD_Signal,0.2655047023598994,0.11829418347183823,0.7841763822965809,0.06057622338505824,0.06343129649723353,0.07872441639694422,0.4128328681820138,1.431035123776818,0.03557378993043885,0.08676012160294898,0.2034322148506436,0.10295644400658334,0.010186869237938634,0.42862783715001784,0.48286015739733257,0.0843369053774048,0.06543658188242078,0.6902517495526843,-0.054205688147011405,0.04579446397011577,0.01763782654587681,-0.06621062679727138,-0.1196386406553488,-0.06361840424462237,-0.042721082710104843,0.11849402781305642,0.10131011072887959,0.16411693112835127,-0.006235472633209837,0.011762810627120153,0.1213809649828767,0.02227564976409553,0.3506060944492471,-0.06296691159795931,0.3162887152101416,0.013430459160061201,-0.03639692209744769,0.1724263890692881,-0.030480037866619184,0.0005475420594308324,-0.07075897370356893,0.20491421012214214,0.08439877663070829,0.08025204855021505,-1.6768978900431898e-05,0.49899890719367224,0.12098659321963225,-0.011208501215895011,0.007884078066391333,0.11802159962138155,0.0377795841337107,-0.0048301038313173445,-0.002250574031629407,-0.027170637492658387,-0.011310699623221836,-0.0032634373896056486
ATR,2.2512172862133593,1.20986443933778,3.6878653672114208,1.0087984293431924,0.9908847232328224,1.2411463939974337,2.3612814964318845,6.09205233038843,3.523511813738658,0.7000106504024705,1.7369782895334887,1.2928516890690838,1.2434253513091358,3.999975509430222,5.615375972933436,1.4829907127443065,0.4581929720339968,3.301819663338343,0.8572600157598752,0.6478365549852947,0.9703898505137447,4.159455806797247,2.0485227860163286,0.2955584982884674,0.5718153135971268,1.7118062849546607,0.914125718450761,2.4368706696830724,0.259007307480962,0.3623798250344062,2.1196453948622116,0.6703182294823217,5.21088688110043,0.8497987599861427,1.830024660583484,2.734388685551873,0.6234158157198239,0.667797112866675,3.3993246428763286,0.8889857647684349,1.2755389334404483,2.1523645085084024,0.7898079276396935,3.4341439495724493,0.7810015669702475,3.319118274526905,2.1658217803651865,0.2997489474275195,0.9165405376889787,1.3313263103689539,0.7581669126522033,0.36777215330887064,0.07672250623964022,0.892056264865586,0.12165955446489918,0.13442580090451736
